product_category_name_english,order_item_id,percentage
Bed Bath Table,11115,10.01143907118345
Health Beauty,9670,8.70990695621628
Sports Leisure,8641,7.783071976077029
Furniture Decor,8334,7.506552696288156
Computers Accessories,7827,7.04989056321663
Housewares,6964,6.272574151301982
Watches Gifts,5991,5.396179170081875
Telephony,4545,4.093746340848293
Garden Tools,4347,3.915404916098466
Auto,4235,3.81452491826018
